6454,Smoked Haddock,0,0,0,0,,
6455,Quinoa,0,0,0,0,,
6456,Cider,0,0,0,0,,
6457,Lasagne Sheets,0,0,0,0,,
6458,Egg White,0,0,0,0,,
6459,Squash,0.39,1.04,3.79,23,,
6460,Paella Rice,0,0,0,0,,
6461,Wholegrain Bread,0,0,0,0,,
6462,Desiccated Coconut,0,0,0,0,,
6463,Naan Bread,0,0,0,0,,
6464,Mixed Grain,0,0,0,0,,
6465,Garam Masala,0,0,0,0,,
6466,Filo Pastry,0,0,0,0,,
6467,Thai green curry paste,0,0,0,0,,
6468,Bun,0,0,0,0,,
6469,Duck Sauce,0,0,0,0,,
6470,coconut milk,0,0,0,0,,
6471,rice noodles,0,0,0,0,,
6472,vegetable oil,0,0,0,0,,
6473,Cherry Tomatoes,0,0,0,0,,
6474,Corn Tortillas,0,0,0,0,,
6475,chilli,0,0,0,0,,
6476,Garlic Clove,0,0,0,0,,
6477,Cooking wine,0,0,0,0,,
6478,Lamb Kidney,0,0,0,0,,
6479,Tamarind Paste,0,0,0,0,,
6480,farfalle,0.93,5.8,30.86,158,,
6481,Oyster Sauce,0,0,0,0,,
6482,Lard,0,0,0,0,,
6483,Egg,9.52,12.56,0.72,143,,
6484,Cannellini Beans,0,0,0,0,,
6485,cinnamon,1.15,3.85,80.77,246.92,,
6486,cornstarch,0,0.25,91.25,381,,
6487,Self-raising Flour,0,0,0,0,,
6488,Pickle Juice,0,0,0,0,,
6489,Orange Zest,0,0,0,0,,
6490,Broad Beans,0,0,0,0,,
6491,pitted black olives,10.79,0.79,6.32,115,,
6492,Lime,0,0,0,0,,
6493,Salt,5,10,15,220,,
6494,White Chocolate Chips,0,0,0,0,,
6495,Miniature Marshmallows,0,0,0,0,,
6496,Rice Krispies,0,0,0,0,,
6497,Ginger,0,0,0,0,,
6498,Oysters,0,0,0,0,,
6499,cayenne pepper,0,0,0,0,,
6500,Green Beans,0,0,0,0,,
6501,Sweetcorn,0,0,0,0,,
6502,double cream,0,0,0,0,,
6503,Cayenne Pepper,0,0,0,0,,
6504,almond milk,0,0,0,0,,
6505,Red Snapper,0,0,0,0,,
6506,Toffee Popcorn,0,0,0,0,,
6507,water,0,0,0,0,,
6508,stir-fry vegetables,4.58,2.54,6.47,71.71,,
6509,Maple Syrup,0,0,0,0,,
6510,Egg Rolls,0,0,0,0,,
6511,Custard Powder,0,0,0,0,,
6512,"free-range egg, beaten",9.52,12.56,0.72,143,,
6513,meringue nests,0,0,0,0,,
6514,fajita seasoning,0,0,0,0,,
6515,Clotted Cream,0,0,0,0,,
6516,Green Pepper,0,0,0,0,,
6517,Bouquet Garni,0,0,0,0,,
6518,Sherry,0,0,0,0,,
6519,Gruyère,0,0,0,0,,
6520,fish sauce,0,0,0,0,,
6521,pepper,3.04,10.43,63.91,250.87,,
6522,Tomato Puree,0,0,0,0,,
6523,Shallots,0,0,0,0,,
6524,Cornstarch,0,0,0,0,,
6525,nutmeg,0,0,0,0,,
6526,Mustard,0,0,0,0,,
6527,worcestershire sauce,0,0,19.47,78,,
6528,Malt Vinegar,0,0,0,0,,
6529,Demerara Sugar,0,0,0,0,,
6530,Chives,0,0,0,0,,
6531,Soy sauce,0,0,0,0,,
6532,dried oregano,4,9,69,265,,
6533,Sun-Dried Tomatoes,0,0,0,0,,
6534,Rosemary,0,0,0,0,,
6535,Eggs,9.52,12.56,0.72,143,,
6536,Cabbage,0,0,0,0,,
6537,cold water,0,0,0,0,,
6538,Granulated sugar,0,0,0,0,,
6539,Garlic powder,0,0,0,0,,
6540,fenugreek,0,0,0,0,,
6541,Beef Shin,0,0,0,0,,
6542,Dark Rum,0,0,0,0,,
6543,Broccoli,0,0,0,0,,
6544,Hard Taco Shells,0,0,0,0,,
6545,Red Wine Vinegar,0,0,0,0,,
