'Smoked Haddock','Tofu'
'Lasagne Sheets','Zucchini Slices'
'Egg White','Aquafaba'
'Wholegrain Bread','Gluten-Free Bread'
'Naan Bread','Gluten-Free Flatbread'
'Filo Pastry','Rice Paper'
'Bun','Gluten-Free Bun'
'Corn Tortillas','Lettuce Wrap'
'Lamb Kidney','Lentils'
'Farfalle','Zucchini Noodles'
'Oyster Sauce','Vegan Oyster Sauce'
'Egg','Silken Tofu'
'Self-Raising Flour','Gluten-Free Flour'
'White Chocolate Chips','Dairy-Free White Chocolate'
'Rice Krispies','Puffed Rice'
'Oysters','Marinated Mushrooms'
'Double Cream','Coconut Cream'
'Red Snapper','Jackfruit'
'Egg Rolls','Rice Paper Rolls'
'Clotted Cream','Coconut Whipped Cream'
'Gruyère','Nutritional Yeast'
'Fish Sauce','Soy Sauce'
'Worcestershire Sauce','Vegan Worcestershire Sauce'
'Eggs','Flaxseed Mixture'
'Beef Shin','Seitan'
'Egg Yolks','Turmeric Chickpea Mixture'
'Salted Butter','Plant-Based Butter'
'Veal','Chickpea Flour Patties'
'Full-Fat Yogurt','Almond Yogurt'
'Unsalted Butter','Coconut Oil'
'Honey','Maple Syrup'
'Cheddar Cheese','Cashew Cheese'
'Flour','Almond Flour'
'Cream Cheese','Cashew Cream'
'Floury Potatoes','Mashed Cauliflower'
'Pita Bread','Gluten-Free Pita'
'Whole Milk','Almond Milk'
'Plain Flour','Chickpea Flour'
'Beef Stock Concentrate','Mushroom Broth'
'Fromage Frais','Coconut Yogurt'
'Ham','Smoked Tempeh'
'Lamb Mince','Textured Vegetable Protein (TVP)'
'Sour Cream','Cashew Cream'
'Heavy Cream','Coconut Cream'
'Greek Yogurt','Plant-Based Greek Yogurt'
'Chocolate Chips','Dairy-Free Chocolate Chips'
'Prosciutto','Roasted Eggplant Slices'
'Digestive Biscuits','Gluten-Free Biscuits'
'Chicken','Plant-Based Chicken Pieces'
'Creme Fraiche','Coconut Creme Fraiche'
'Pretzels','Gluten-Free Pretzels'
'plain flour','Almond Flour'
'chicken breasts','Textured Vegetable Protein (TVP)'
'mozzarella balls','Cashew Cheese Balls'
'butter','Coconut Oil'
'chilled butter','Plant-Based Butter'
'Chicken Breasts','Plant-Based Chicken Pieces'
'Worcestershire Sauce','Vegan Worcestershire Sauce'
'Mozzarella Balls','Cashew Cheese Balls'
'Pilchards','Marinated Mushrooms'
'bowtie pasta','Zucchini Noodles'
'white fish','Jackfruit'
'whole wheat','Gluten-Free Whole Wheat Flour'
'Chicken Breast','Plant-Based Chicken Pieces'
'Mascarpone','Coconut Cream'
'Mussels','Marinated Tofu'
'macaroni','Lentil Pasta'
'Thai fish sauce','Soy Sauce'
'Butter','Coconut Oil'
'Salted Butter','Plant-Based Butter'
'Ricotta','Almond Ricotta'
'Bulgur Wheat','Quinoa'
'Plain flour','Almond Flour'
