DEFAULT, 175, '1', 287, 1072
DEFAULT, 75, '1', 287, 1141
DEFAULT, 2-3, '15', 287, 1009
DEFAULT, 1, '15', 287, 1082
DEFAULT, 125, '1', 287, 1138
DEFAULT, 125, '1', 287, 1121
DEFAULT, 125, '1', 287, 1069
DEFAULT, 1, 'n/a', 287, 984
DEFAULT, -1, '5', 287, 1033
DEFAULT, 50, '1', 287, 1522
DEFAULT, 175, '1', 288, 1112
DEFAULT, 75, '1', 288, 1138
DEFAULT, 200, '1', 288, 1481
DEFAULT, 75, '1', 288, 1261
DEFAULT, 75, '1', 288, 1121
DEFAULT, 2, 'n/a', 288, 1236
DEFAULT, 75, '1', 288, 1069
DEFAULT, 1, '5', 288, 1033
DEFAULT, 50, '1', 288, 1522
DEFAULT, 250, '1', 289, 1602
DEFAULT, 500, '1', 289, 1334
DEFAULT, -1, 'None', 289, 1116
DEFAULT, -1, 'None', 289, 1246
DEFAULT, 1, 'None', 289, 1571
DEFAULT, 1, 'n/a', 289, 1317
DEFAULT, 3, 'None', 289, 1638
DEFAULT, 100, '1', 289, 1411
DEFAULT, 2, 'n/a', 290, 1122
DEFAULT, 1, '15', 290, 1205
DEFAULT, 1, '4', 290, 1269
DEFAULT, 500, '1', 290, 1523
DEFAULT, 90, '1', 290, 1287
DEFAULT, 1, '5', 290, 1004
DEFAULT, 400, '1', 290, 1106
DEFAULT, 300, '1', 290, 1477
DEFAULT, 1, '15', 290, 994
DEFAULT, 1, '15', 290, 999
DEFAULT, 350, '1', 290, 1239
DEFAULT, -1, 'None', 290, 1064
DEFAULT, 1, 'None', 291, 1528
DEFAULT, 1/4, '240', 291, 1205
DEFAULT, 3, '4', 291, 1269
DEFAULT, 1, 'None', 291, 1117
DEFAULT, 1/2, '5', 291, 1153
DEFAULT, 1/2, '5', 291, 1458
DEFAULT, 6, 'None', 291, 1060
DEFAULT, -1, 'None', 291, 1400
DEFAULT, 3/4, '240', 292, 1003
DEFAULT, 1/2, '240', 292, 979
DEFAULT, 1/4, '240', 292, 1302
DEFAULT, 1/2, '5', 292, 1099
DEFAULT, 1/2, '5', 292, 1335
DEFAULT, 4, 'None', 292, 958
DEFAULT, 2, 'n/a', 292, 1127
DEFAULT, 1, '28.35', 292, 980
DEFAULT, 3, '240', 292, 1293
DEFAULT, 1, '454', 293, 1496
DEFAULT, 1, '15', 293, 1205
DEFAULT, 2, 'None', 293, 1003
DEFAULT, 2, 'None', 293, 1028
DEFAULT, 4, 'None', 293, 1278
DEFAULT, 6, '28.35', 294, 1101
DEFAULT, 2, '15', 294, 1189
DEFAULT, 2, '15', 294, 953
DEFAULT, 2, '5', 294, 1003
DEFAULT, 2, '5', 294, 1158
DEFAULT, 2, '5', 294, 1259
DEFAULT, 2, '15', 294, 979
DEFAULT, 2, '15', 294, 1420
DEFAULT, 2, '4', 294, 1269
DEFAULT, 1, '240', 294, 1113
DEFAULT, 1, 'n/a', 294, 955
DEFAULT, 4, '240', 294, 1544
DEFAULT, 1, '240', 295, 1365
DEFAULT, 1, 'n/a', 295, 1510
DEFAULT, 1, 'n/a', 295, 1469
DEFAULT, 1, '50', 295, 1325
DEFAULT, -1, 'None', 295, 1274
DEFAULT, 150, '1', 295, 1312
DEFAULT, 10, 'n/a', 295, 929
DEFAULT, 35, '1', 295, 1146
DEFAULT, 4, 'None', 295, 1044
DEFAULT, 300, '1', 295, 1529
DEFAULT, 1.5, 'None', 295, 998
DEFAULT, 1, '5', 295, 1030
DEFAULT, 250, '1', 296, 1283
DEFAULT, 175, '1', 296, 1138
DEFAULT, 2, 'None', 296, 1374
DEFAULT, 5, 'n/a', 296, 1007
DEFAULT, 175, '1', 296, 1010
